transaction_id,customer_id,transaction_date,transaction_amount,account_type,transaction_type,status
1,2685,2025-03-06 17:50:46.055480,2310.1592225944205,checking,withdrawal,completed
2,1769,2024-05-06 17:50:46.055480,2069.7997835390797,savings,withdrawal,pending
3,7949,2024-12-20 17:50:46.055480,6383.2283252265415,investment,withdrawal,completed
4,3433,2024-07-16 17:50:46.055480,2576.269637980691,checking,withdrawal,completed
5,6311,2024-08-07 17:50:46.055480,6323.83470534398,investment,withdrawal,completed
6,6051,2024-11-19 17:50:46.055480,593.9615949444535,investment,deposit,pending
7,7420,2025-02-02 17:50:46.055480,1426.3261913357476,savings,transfer,completed
8,2184,2025-03-06 17:50:46.055480,2752.6571374612527,investment,deposit,completed
9,5555,2024-07-16 17:50:46.055480,5974.49869978796,savings,withdrawal,completed
10,4385,2024-11-03 17:50:46.055480,,savings,withdrawal,completed
11,2685,2024-05-16 17:50:46.055480,4432.742498127475,savings,withdrawal,completed
12,1769,2025-04-22 17:50:46.055480,4463.451236626517,savings,,
13,7949,2024-06-13 17:50:46.055480,7247.923345472195,checking,transfer,completed
14,3433,2024-06-21 17:50:46.055480,168.05270673816858,checking,transfer,completed
15,6311,2024-08-26 17:50:46.055480,3417.489344497463,checking,withdrawal,completed
16,6051,2024-06-11 17:50:46.055480,8188.883500621135,savings,transfer,completed
17,7420,2024-08-18 17:50:46.055480,6036.161908031589,checking,withdrawal,completed
18,2184,2024-06-06 17:50:46.055480,3378.8990562266495,,transfer,completed
19,5555,2025-03-07 17:50:46.055480,9056.192675373442,investment,withdrawal,completed
20,4385,2024-08-24 17:50:46.055480,7728.501047219332,savings,,completed
21,7396,2024-09-03 17:50:46.055480,2656.3055178949667,checking,,completed
22,9666,2024-09-13 17:50:46.055480,6456.445476881911,investment,transfer,completed
23,3558,2025-02-22 17:50:46.055480,5961.549774607677,investment,deposit,completed
24,8849,2025-03-10 17:50:46.055480,4017.867261249437,investment,deposit,failed
25,3047,2025-01-23 17:50:46.055480,3675.8912312559587,checking,transfer,pending
26,3747,2025-01-28 17:50:46.055480,,savings,deposit,pending
27,1189,2024-08-09 17:50:46.055480,6175.386276122512,checking,transfer,completed
28,3734,2024-07-13 17:50:46.055480,4429.675265441889,checking,withdrawal,completed
29,4005,2025-01-24 17:50:46.055480,8320.312501381706,investment,withdrawal,completed
30,5658,2025-02-01 17:50:46.055480,6699.330135178279,investment,,completed
31,2899,2025-02-11 17:50:46.055480,708.6167410372469,savings,withdrawal,completed
32,8734,2024-07-16 17:50:46.055480,6405.280556043379,investment,withdrawal,completed
33,2267,2024-12-31 17:50:46.055480,2718.7628906368464,savings,withdrawal,completed
34,2528,2024-07-02 17:50:46.055480,5932.1917966176925,savings,withdrawal,completed
35,4556,2024-11-16 17:50:46.055480,6804.517991723479,checking,transfer,failed
36,4890,2024-10-30 17:50:46.055480,2315.9835996485804,,deposit,completed
37,9838,2024-09-19 17:50:46.055480,4574.017862354883,checking,,pending
38,6393,2024-06-23 17:50:46.055480,1911.3453795624873,,transfer,completed
39,9792,2025-04-23 17:50:46.055480,532.865369107218,investment,deposit,completed
40,9433,2024-06-04 17:50:46.055480,3790.979470623832,checking,transfer,completed
41,8513,2024-08-10 17:50:46.055480,3635.81327574146,savings,withdrawal,completed
42,3612,2024-11-20 17:50:46.055480,9954.850102135528,investment,deposit,failed
43,8041,2024-11-30 17:50:46.055480,-100.0,savings,,pending
44,7235,2025-02-04 17:50:46.055480,3342.359799227282,,deposit,completed
45,6486,2024-12-04 17:50:46.055480,5808.945317099579,,deposit,completed
46,8099,2025-01-08 17:50:46.055480,896.786267136607,savings,withdrawal,failed
